"Abrangência";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Turno";"Votação";
"";"";"1919";"JOAO CARLOS BACELAR BATISTA";"PTN";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"95.158"
"";"";"2522";"CLAUDIO CAJADO SAMPAIO";"DEM";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"89.118"
"";"";"2552";"ELMAR JOSÉ VIEIRA NASCIMENTO";"DEM";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"88.334"
"";"";"5580";"SERGIO LUIS LACERDA BRITO";"PSD";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"83.658"
"";"";"1301";"AFONSO BANDEIRA FLORENCE";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"82.661"
"";"";"1363";"MOEMA ISABEL PASSOS GRAMACHO";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"81.414"
"";"";"5529";"PAULO SERGIO PARANHOS DE MAGALHÃES";"PSD";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"77.045"
"";"";"2012";"ERIVELTON LIMA SANTANA";"PSC";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"74.836"
"";"";"6522";"ALICE MAZZUCO PORTUGAL";"PC do B";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"72.682"
"";"";"5500";"JOSÉ CARLOS LEÃO DE ARAUJO";"PSD";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"72.013"
"";"";"1400";"BENITO DA GAMA SANTOS";"PTB";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"71.372"
"";"";"3637";"ULDURICO ALENCAR PINTO";"PTC";"PPS / PSDC / PTC / PV / PRP / PT do B";"1";"39.904"
"";"";"";"";"";"";"";"4.295.773"
"CE";"";"2525";"MORONI BING TORGAN";"DEM";"DEM / PPS / PSDC / PTN";"1";"277.774"
"";"";"7777";"GENECIAS MATEUS NORONHA";"SD";"PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS";"1";"221.567"
"";"";"1322";"JOSE NOBRE GUIMARÃES";"PT";"PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS";"1";"209.032"
"";"";"9090";"DOMINGOS GOMES DE AGUIAR NETO";"PROS";"PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS";"1";"185.226"
"";"";"1513";"FRANCISCO DANILO BASTOS FORTE";"PMDB";"PMDB / PSC / PR / PRP / PSDB";"1";"180.157"
"";"";"1500";"ANIBAL FERREIRA GOMES";"PMDB";"PMDB / PSC / PR / PRP / PSDB";"1";"173.736"
"";"";"2323";"MOSES HAENDEL MELO RODRIGUES";"PPS";"DEM / PPS / PSDC / PTN";"1";"147.044"
"";"";"2233";"MARIA GORETE PEREIRA";"PR";"PMDB / PSC / PR / PRP / PSDB";"1";"130.983"
"";"";"1313";"LUIZIANNE DE OLIVEIRA LINS";"PT";"PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS";"1";"130.717"
"";"";"1234";"ANDRE PEIXOTO FIGUEIREDO LIMA";"PDT";"PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS";"1";"125.360"
"";"";"1331";"LUIZ ODORICO MONTEIRO DE ANDRADE";"PT";"PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS";"1";"121.640"
